portal,published_date,author,headline,url_link,sentiment_label,sentiment_score
The Print,01-08-2024,Prasad Nichenametla,‘Deliberate delay’ — YSRCP questions Naidu government over vote on account budget,https://theprint.in/politics/deliberate-delay-ysrcp-questions-naidu-government-over-vote-on-account-budget/2203192/,Negative,0.700149298
The Print,01-08-2024,Sharan Poovanna,Chink in NDA’s armour in Karnataka? JD(S) backs out of BJP-led padayatra in state,https://theprint.in/politics/chink-in-ndas-armour-in-karnataka-jds-backs-out-of-bjp-led-padayatra-in-state/2202128/,Neutral,0.920771241
The Print,01-08-2024,Sharan Poovanna,"Behind renaming of ‘Gabbar town’ Ramanagara, a decades-old feud between two Vokkaliga heavyweights",https://theprint.in/politics/behind-renaming-of-gabbar-town-ramanagara-a-decades-old-feud-between-two-vokkaliga-heavyweights/2200717/,Neutral,0.952755392
The Print,01-08-2024,ThePrint Team,Complete collapse of Delhi after rain exposes shallowness of India’s urbanisation story,https://theprint.in/50-word-edit/complete-collapse-of-delhi-after-rain-exposes-shallowness-of-indias-urbanisation-story/2203387/,Negative,0.93898201
The Print,01-08-2024,Soumya Pillai,"‘We are scientists, not beggars’. Indian Science Congress is in a war against govt",https://theprint.in/ground-reports/we-are-scientists-not-beggars-indian-science-congress-is-in-a-war-against-govt/2200747/,Negative,0.630791247
The Print,01-08-2024,Muskan Bhatia,"After uproar over hike in Budget, govt reverts to 10% customs duty on lab chemicals, with 1 condition",https://theprint.in/economy/after-uproar-over-hike-in-budget-govt-reverts-to-10-customs-duty-on-lab-chemicals-with-1-condition/2203118/,Neutral,0.841252983
Altnews,01-08-2024,Abhishek Kumar,Nitin Gadkari’s statements clubbed together to falsely suggest no toll tax needed within 60km radius of home,https://www.altnews.in/old-video-of-nitin-gadkari-speech-in-parliament-is-being-circulated-with-false-toll-tax-relief-60-km-within-home/,Negative,0.819045246
Altnews,01-08-2024,Priyanka Jha,Photo shared in connection with assault on elderly man in Bijnor is not of accused Abhinav Singh,https://www.altnews.in/son-of-bjp-leader-beaten-up-elderly-couple-image-of-another-abhinav-singh-viral-as-accused/,Negative,0.550066531
Sabrangindia,01-08-2024,Sabrangindia,"Violence Unleashed: Kanwariya Yatra 2024, police vehicle and shops vandalised",https://sabrangindia.in/violence-unleashed-kanwariya-yatra-2024-police-vehicle-and-shops-vandalised/,Negative,0.97336483
Sabrangindia,01-08-2024,Binu Mathew,Landslide In Wayanad Is Only The Beginning!,https://sabrangindia.in/landslide-in-wayanad-is-only-the-beginning/,Neutral,0.779893637
Sabrangindia,01-08-2024,Sabrangindia,Telangana High Court affirms right of Akbhari Shia Women to conduct religious activities in Hyderabad’s Ibadat Khana,https://sabrangindia.in/telangana-high-court-affirms-right-of-akbhari-shia-women-to-conduct-religious-activities-in-hyderabads-ibadat-khana/,Neutral,0.862925887
Sabrangindia,01-08-2024,Sabrangindia,Violence,https://sabrangindia.in/category/violence/,Negative,0.904979289
Sabrangindia,01-08-2024,Binu Mathew,Environment,https://sabrangindia.in/category/environment/,Neutral,0.891471624
Sabrangindia,01-08-2024,Sabrangindia,Gender and Sexuality,https://sabrangindia.in/category/hate-harmony/gender-and-sexuality/,Neutral,0.956801057
Maktoobmedia,01-08-2024,Maktoob Staff,Israeli military claims killing Hamas military commander Mohammed Deif,https://maktoobmedia.com/world/israeli-military-claims-killing-hamas-military-commander-mohammed-deif/,Negative,0.92834276
Maktoobmedia,01-08-2024,Maktoob Staff,Pakistan: Ceasefire in Kurram after 49 killed in sectarian clashes,https://maktoobmedia.com/world/pakistan-ceasefire-in-kurram-after-49-killed-in-sectarian-clashes/,Negative,0.944310248
The Print,02-08-2024,Mayank Kumar,"Centre repatriates BSF DG, its Western Command chief to parent cadres amid Jammu infiltration surge",https://theprint.in/india/centre-repatriates-bsf-dg-its-western-command-chief-to-parent-cadres-amid-jammu-infiltration-surge/2205482/,Neutral,0.945400536
The Print,02-08-2024,Soumya Pillai,"Scientists identify Ladakh as potential analogue research site to conduct Moon, Mars mission studies",https://theprint.in/science/why-remote-ladakh-was-identified-as-site-for-indias-mars-moon-research-studies/2205135/,Neutral,0.898204863
The Print,02-08-2024,Nootan Sharma,"4 coaching centres announce aid to families of deceased UPSC aspirants, offer to take in Rau’s students",https://theprint.in/india/4-coaching-centres-announce-aid-to-families-of-deceased-upsc-aspirants-offer-to-take-in-raus-students/2205181/,Neutral,0.731341064
The Print,02-08-2024,Sreyashi Dey,"BJP in a bind in Bengal as MPs, MLA renew call for bifurcation & TMC slams ‘anti-Bengal politics’",https://theprint.in/politics/bjp-in-a-bind-in-bengal-as-mps-mla-renew-call-for-bifurcation-tmc-slams-anti-bengal-politics/2204519/,Neutral,0.496341974
The Print,02-08-2024,Purva Chitnis,Tense silence at TISS Mumbai as admin serves nearly dozen PhD students notice to vacate hostel,https://theprint.in/india/education/tense-silence-at-tiss-mumbai-as-admin-serves-nearly-dozen-students-notice-to-vacate-hostel-mid-phd/2204925/,Neutral,0.947821319
The Print,02-08-2024,Soumya Pillai,"Centre to notify 56,800 sq km of Western Ghats, including Wayanad, as eco-sensitive area",https://theprint.in/india/governance/centre-notifies-56800-sq-km-of-western-ghats-including-landslide-hit-wayanad-as-eco-sensitive-area/2205204/,Neutral,0.965617597
The Print,02-08-2024,Aneesa PA,"Homes lost in sea of mud, Wayanad survivors recall horror, neighbours saying ‘nothing will happen’",https://theprint.in/india/homes-lost-in-sea-of-mud-wayanad-survivors-recall-horror-neighbours-saying-nothing-will-happen/2204670/,Negative,0.947081745
The Print,02-08-2024,TCA Sharad Raghavan,"‘Flimsy, contradictory & nonsense’ — why WazirX’s post-hack actions have raised calls for regulation",https://theprint.in/economy/flimsy-contradictory-nonsense-why-wazirxs-post-hack-actions-have-raised-calls-for-regulation/2204095/,Negative,0.944823503
The Print,02-08-2024,ANI,"Embassy in Israel issues advisory for Indian nationals, says ‘avoid unnecessary travel’",https://theprint.in/world/embassy-in-israel-issues-advisory-asks-indian-nationals-to-avoid-unnecessary-travel-within-country/2205244/,Neutral,0.970561743
The Print,02-08-2024,PTI,High Court transfers Delhi coaching centre deaths case probe to CBI,https://theprint.in/india/hc-transfers-probe-into-delhi-coaching-centre-deaths-to-cbi/2204708/,Neutral,0.841140807
The Print,02-08-2024,PTI,Atishi orders probe into deaths of 14 inmates of Asha Kiran shelter home in Delhi’s Rohini,https://theprint.in/india/atishi-orders-probe-into-deaths-of-14-inmates-of-asha-kiran-shelter-home-in-delhis-rohini/2204427/,Negative,0.517047226
The Print,02-08-2024,ANI,Air India suspends Delhi-Tel Aviv flights till 8 August amid rising tensions in Middle East,https://theprint.in/world/air-india-suspends-flights-to-and-from-tel-aviv-until-august-8-amid-tensions-in-middle-east/2204338/,Negative,0.801563442
The Print,02-08-2024,Gajendra Shekhawat,No better time than these Amrit Kaal years to preserve our cultural traditions—Gajendra Shekhawat,https://theprint.in/opinion/no-better-time-than-these-amrit-kaal-years-to-preserve-our-cultural-traditions-gajendra-shekhawat/2204839/,Positive,0.92520839
The Print,02-08-2024,Yashovardhan Azad,Delhi student drowning deaths show the need for officers like Ashok Khemka—not the current lot,https://theprint.in/opinion/delhi-student-drowning-deaths-show-the-need-for-officers-like-ashok-khemka-not-the-current-lot/2204132/,Negative,0.80532515
The Print,02-08-2024,Monideepa Banerjie,BJP wants to partition Bengal again. It’s a distortion of Syama Prasad Mookerjee’s Hindu Bengal,https://theprint.in/opinion/bjp-wants-to-partition-bengal-again-its-a-distortion-of-syama-prasad-mookerjees-hindu-bengal-2/2204141/,Negative,0.945003152
The Print,02-08-2024,Amana Begam,Increasing Muslim participation in UPSC a complex reality. It’s both encouraging & worrying,https://theprint.in/opinion/increasing-muslim-participation-in-upsc-a-complex-reality-its-both-encouraging-worrying/2204076/,Positive,0.594732821
The Print,02-08-2024,Dilip Mandal,Supreme Court letting states subclassify SCs-STs. I call it ‘Constitution amendment by stealth’,https://theprint.in/opinion/supreme-court-letting-states-subclassify-scs-sts-i-call-it-constitution-amendment-by-stealth/2204084/,Negative,0.677032173
The Print,02-08-2024,Swasti Rao,"Tarang Shakti will be good for UP and Tamil Nadu defence corridors, bring European investment",https://theprint.in/opinion/tarang-shakti-will-be-good-for-up-and-tamil-nadu-defence-corridors-bring-european-investment/2204012/,Positive,0.930792809
The Print,02-08-2024,Seshadri Chari,Don’t whip up feelings of anti-migration among Kannadigas. You’ll pay with economic stagnation,https://theprint.in/opinion/dont-whip-up-feelings-of-anti-migration-among-kannadigas-youll-pay-with-economic-stagnation/2203661/,Negative,0.904335618
The Print,02-08-2024,Antara Baruah,"New book investigates Bhima Koregaon—‘riots are manufactured, not spontaneous’",https://theprint.in/feature/around-town/new-book-investigates-bhima-koregaon-riots-are-manufactured-not-spontaneous/2204129/,Negative,0.759306669
The Print,02-08-2024,Sharan Poovanna,‘Failed to apply his mind’ — Congress attacks Karnataka governor over show cause notice issued to CM,https://theprint.in/politics/failed-to-apply-his-mind-congress-attacks-karnataka-governor-over-show-cause-notice-issued-to-cm/2203888/,Negative,0.958731711
The Print,02-08-2024,Tina Das,"Pune chaiwala to tea tycoon, Navnath Yewale looked to pro tips from Modi and McDonald’s",https://theprint.in/ground-reports/pune-chaiwala-to-tea-tycoon-navnath-yewale-looked-to-pro-tips-from-modi-and-mcdonalds/2203189/,Neutral,0.936901152
The Print,02-08-2024,Nootan Sharma,Dutee Chand backs Olympic boxer Khelif over gender row. ‘Why such allegations only when we win?’,https://theprint.in/sport/dutee-chand-backs-olympic-boxer-khelif-over-gender-row-why-such-allegations-only-when-we-win/2204878/,Neutral,0.795354307
The Print,02-08-2024,Radhika Pandey,Rising interest but only medium-term targets — why central banks are going slow on digital currencies,https://theprint.in/macrosutra/rising-interest-but-only-medium-term-targets-why-central-banks-are-going-slow-on-digital-currencies/2202648/,Neutral,0.83765769
The Print,02-08-2024,Smruti Deshpande,‘Testimony to changing world’ — EAM Jaishankar says India-US ties thrive despite divergences,https://theprint.in/diplomacy/testimony-to-changing-world-eam-jaishankar-says-india-us-ties-thrive-despite-divergences/2204890/,Positive,0.866646171
The Print,02-08-2024,Sumi Sukanya Dutta,84% breast cancer patients have catastrophic health spend despite reimbursement — Tata Memorial study,https://theprint.in/health/84-breast-cancer-patients-have-catastrophic-health-spend-despite-reimbursement-tata-memorial-study/2202700/,Negative,0.858892739
The Print,02-08-2024,Angellica Aribam,"One of 15 women in India’s Constituent Assembly, Kamala Chaudhri defended the Hindu Code Bill",https://theprint.in/pageturner/excerpt/one-of-15-women-in-indias-constituent-assembly-kamala-chaudhri-defended-the-hindu-code-bill/2202073/,Neutral,0.579975247
The Print,02-08-2024,Apoorva Mandhani,No SC/ST groups will be excluded — how Supreme Court order treads sub-classification minefield,https://theprint.in/theprint-essential/no-sc-st-groups-will-be-excluded-how-supreme-court-order-treads-sub-classification-minefield/2204838/,Neutral,0.955486953
The Print,02-08-2024,ThePrint Team,This House is resolved to drip & why IMD should issue ‘Lafanga alerts’,https://theprint.in/last-laughs/this-house-is-resolved-to-drip-why-imd-should-issue-lafanga-alerts/2204254/,Neutral,0.952342749
The Print,02-08-2024,Sumi Sukanya Dutta,"India recorded 67,637 heat stroke cases, 374 deaths between March and 25 July, govt tells Parliament",https://theprint.in/health/india-recorded-67637-heat-stroke-cases-374-deaths-between-march-and-25-july-govt-tells-parliament/2204772/,Negative,0.826648653
The Print,02-08-2024,Sushil Manav,Haryana chief secy Kaushal retires after 4 months’ leave. Surprise over ‘role model’ officer’s exit,https://theprint.in/india/haryana-chief-secy-kaushal-retires-after-4-months-leave-surprise-over-role-model-officers-exit/2204500/,Neutral,0.792811155
The Print,02-08-2024,Kapil Joshi,Book of Meme and POPCAT Move Over As MOONHOP’s 10% Referral Deal Takes the Spotlight!,https://theprint.in/brandstand/adon/book-of-meme-and-popcat-move-over-as-moonhops-10-referral-deal-takes-the-spotlight/2204909/,Neutral,0.941702425
The Print,02-08-2024,Sampurna Panigrahi,"Surjit Bhalla says India’s tax-to-GDP ratio ‘high for a developing country’, sparks debate at seminar",https://theprint.in/economy/surjit-bhalla-says-indias-tax-to-gdp-ratio-high-for-a-developing-country-sparks-debate-at-seminar/2205127/,Neutral,0.743007064
The Print,02-08-2024,Mrinalini Dhyani,"Centre’s GST revenue from coaching centres jumped nearly 150% in 5 years, at Rs 5,500 cr in FY24",https://theprint.in/economy/centres-gst-revenue-from-coaching-centres-jumped-nearly-150-in-5-years-at-rs-5500-cr-in-fy24/2204201/,Positive,0.810058296
The Print,02-08-2024,Risha Chitlangia,Centre struggling to implement tribal scheme launched in 2021 but announced new one in Budget,https://theprint.in/india/centre-struggling-to-implement-tribal-scheme-launched-in-2021-but-announced-new-one-in-budget/2204475/,Neutral,0.629861474
The Print,02-08-2024,Sharan Poovanna,"How Karnataka’s new cyber security policy aims to contain growing menace of online frauds, crimes",https://theprint.in/india/governance/how-karnatakas-new-cyber-security-policy-aims-to-contain-growing-menace-of-online-frauds-crimes/2204277/,Neutral,0.710929871
The Print,02-08-2024,Zenaira Bakhsh,Why India can’t be too optimistic about realising its economic goals & story of a once-loyal RSS man,https://theprint.in/global-pulse/why-india-cant-be-too-optimistic-about-realising-its-economic-goals-story-of-a-once-loyal-rss-man/2204844/,Negative,0.801937759
The Print,02-08-2024,Debdutta Chakraborty,"US journalist report says Pakistan Army running online campaign against judges, activists",https://theprint.in/go-to-pakistan/us-journalist-report-says-pakistan-army-running-online-campaign-against-judges-activists/2204773/,Neutral,0.973252356
The Print,02-08-2024,Keshav Padmanabhan,"Trump escalates race attack on Kamala Harris, shares photo of her in sari in fresh potshot",https://theprint.in/world/trump-escalates-race-attack-on-kamala-harris-shares-photo-of-her-in-sari-in-fresh-potshot/2204344/,Negative,0.568063438
The Print,02-08-2024,Reuters,Apple pins hopes on AI for iPhone upgrades as China sales falter,https://theprint.in/tech/apple-pins-hopes-on-ai-for-iphone-upgrades-as-china-sales-falter/2203840/,Negative,0.688514531
Altnews,02-08-2024,Shinjinee Majumder,Wayanad landslide: Old photos of RSS workers falsely viral as ongoing rescue ops in Kerala,https://www.altnews.in/wayanad-landslide-old-photos-of-rss-workers-falsely-viral-as-ongoing-rescue-ops-in-kerala/,Negative,0.58000952
Sabrangindia,02-08-2024,CJP Team,12-year legal battle for identity: Rahim Ali’s posthumous victory in Assam’s citizenship tribunal,https://sabrangindia.in/12-year-legal-battle-for-identity-rahim-alis-posthumous-victory-in-assams-citizenship-tribunal/,Neutral,0.955069661
Sabrangindia,02-08-2024,Sabrangindia,"70 migrant families evicted in Bengaluru, homes demolished, accused of being “illegal immigrants” from Bangladesh even after valid documents",https://sabrangindia.in/70-migrant-families-evicted-in-bengaluru-homes-demolished-accused-of-being-illegal-immigrants-from-bangladesh-even-after-valid-documents/,Negative,0.965575397
Sabrangindia,02-08-2024,Sabrangindia,Labour,https://sabrangindia.in/category/labour/,Neutral,0.896465123
Sabrangindia,02-08-2024,Sabrangindia,Rights,https://sabrangindia.in/category/rights/,Neutral,0.910967231
